area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,price_per_sqft,price_per_squrt
Built-up  Area,Ready To Move,Chikkabanavar,8 Bedroom,4000.0,7,0,110.0,8,2750.0,2750.0
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1100.0,2,2,50.0,2,4545.45,4545.45
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1208.0,2,1,49.0,2,4056.29,4056.29
Carpet  Area,Ready To Move,Chikkalasandra,2 BHK,875.0,2,3,52.8,2,6034.29,6034.29
Built-up  Area,Ready To Move,Chikkalasandra,2 Bedroom,1800.0,1,1,128.0,2,7111.11,7111.11
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1070.0,2,2,50.0,2,4672.9,4672.9
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1230.0,2,2,48.0,2,3902.44,3902.44
Built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1428.0,2,1,80.0,3,5602.24,5602.24
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1070.0,2,1,42.8,2,4000.0,4000.0
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1075.0,2,1,46.76,2,4349.77,4349.77
Super built-up  Area,17-Apr,Chikkalasandra,2 BHK,1070.0,2,1,45.48,2,4250.47,4250.47
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1100.0,2,2,50.0,2,4545.45,4545.45
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1224.0,2,2,45.0,2,3676.47,3676.47
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1090.0,2,1,47.42,2,4350.46,4350.46
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1325.0,2,1,59.0,2,4452.83,4452.83
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1290.0,2,2,72.0,2,5581.4,5581.4
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,1115.0,2,2,50.0,2,4484.3,4484.3
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,1300.0,2,3,57.0,2,4384.62,4384.62
Super built-up  Area,17-Jul,Choodasandra,3 BHK,1530.0,3,2,77.0,3,5032.68,5032.68
Super built-up  Area,18-May,Choodasandra,2 BHK,1197.0,2,1,63.0,2,5263.16,5263.16
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,1465.0,3,3,75.0,3,5119.45,5119.45
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,1115.0,2,1,50.0,2,4484.3,4484.3
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,1215.0,2,2,59.0,2,4855.97,4855.97
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,1254.0,2,1,65.0,3,5183.41,5183.41
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,1580.0,3,3,105.0,3,6645.57,6645.57
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,725.0,2,2,36.0,2,4965.52,4965.52
Built-up  Area,18-Apr,Choodasandra,4 Bedroom,2429.0,3,1,210.0,4,8645.53,8645.53
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,1075.0,2,2,45.0,2,4186.05,4186.05
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,1180.0,2,1,71.22,2,6035.59,6035.59
Built-up  Area,Ready To Move,Choodasandra,2 BHK,1140.0,2,2,62.0,2,5438.6,5438.6
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,1560.0,3,2,78.0,3,5000.0,5000.0
Built-up  Area,Ready To Move,Choodasandra,2 BHK,1065.0,2,1,46.0,2,4319.25,4319.25
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,1115.0,2,2,50.0,2,4484.3,4484.3
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,1115.0,2,1,50.0,2,4484.3,4484.3
Super built-up  Area,Ready To Move,Cooke Town,4 BHK,3950.0,4,1,450.0,4,11392.41,11392.41
Built-up  Area,Ready To Move,Cooke Town,3 BHK,2388.0,4,3,239.0,3,10008.38,10008.38
Super built-up  Area,Ready To Move,Cooke Town,2 BHK,1710.0,2,2,200.0,2,11695.91,11695.91
Super built-up  Area,Ready To Move,Cooke Town,2 BHK,1310.0,2,2,111.0,2,8473.28,8473.28
Super built-up  Area,Ready To Move,Cooke Town,4 BHK,3900.0,5,1,415.0,4,10641.03,10641.03
Super built-up  Area,Ready To Move,Cooke Town,3 BHK,2560.0,4,1,310.0,3,12109.38,12109.38
Plot  Area,Ready To Move,Cooke Town,3 Bedroom,2600.0,3,1,375.0,3,14423.08,14423.08
Super built-up  Area,Ready To Move,Cooke Town,2 BHK,1100.0,2,3,90.0,2,8181.82,8181.82
Super built-up  Area,Ready To Move,Cooke Town,3 BHK,2300.0,3,1,250.0,3,10869.57,10869.57
Super built-up  Area,Ready To Move,Cox Town,3 BHK,1975.0,3,3,150.0,3,7594.94,7594.94
Super built-up  Area,Ready To Move,Cox Town,3 BHK,1650.0,3,3,100.0,3,6060.61,6060.61
Super built-up  Area,Ready To Move,Cox Town,3 BHK,1730.0,3,3,140.0,3,8092.49,8092.49
Super built-up  Area,Ready To Move,Cox Town,3 BHK,1600.0,3,1,150.0,3,9375.0,9375.0
Super built-up  Area,Ready To Move,Cox Town,2 BHK,1250.0,2,2,95.0,2,7600.0,7600.0
Built-up  Area,Ready To Move,Cox Town,2 BHK,1280.0,2,1,120.0,2,9375.0,9375.0
Built-up  Area,Ready To Move,Cox Town,2 BHK,1073.0,2,2,72.0,2,6710.16,6710.16
Super built-up  Area,Ready To Move,Cox Town,2 BHK,1000.0,2,3,58.0,2,5800.0,5800.0
Super built-up  Area,Ready To Move,Cox Town,2 BHK,1200.0,2,2,140.0,2,11666.67,11666.67
Super built-up  Area,Ready To Move,Cunningham Road,4 BHK,5270.0,4,3,1250.0,4,23719.17,23719.17
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,3875.0,3,2,864.0,3,22296.77,22296.77
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,3875.0,3,2,800.0,3,20645.16,20645.16
Super built-up  Area,18-Feb,Cunningham Road,3 BHK,3815.0,3,1,763.0,3,20000.0,20000.0
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,2880.0,3,2,501.0,3,17395.83,17395.83
Super built-up  Area,19-Jul,Cunningham Road,3 BHK,3489.0,3,1,662.0,3,18973.92,18973.92
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,4170.0,3,2,800.0,3,19184.65,19184.65
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,2700.0,3,1,501.0,3,18555.56,18555.56
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,2880.0,3,2,560.0,3,19444.44,19444.44
Super built-up  Area,17-Sep,Dasanapura,2 BHK,708.0,2,2,37.0,2,5225.99,5225.99
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,708.0,1,1,40.0,2,5649.72,5649.72
Built-up  Area,Ready To Move,Dasanapura,2 BHK,965.0,2,1,42.5,2,4404.15,4404.15
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,814.0,2,1,42.0,2,5159.71,5159.71
Built-up  Area,Ready To Move,Dasanapura,2 BHK,1163.0,2,1,65.0,2,5588.99,5588.99
Super built-up  Area,18-May,Dasanapura,3 BHK,1286.0,2,1,68.0,3,5287.71,5287.71
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,708.0,2,1,31.15,2,4399.72,4399.72
Super built-up  Area,Ready To Move,Dasanapura,1 BHK,708.0,1,1,41.0,1,5790.96,5790.96
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,814.0,2,1,43.7,2,5368.55,5368.55
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,1295.0,2,1,65.0,2,5019.31,5019.31
Built-up  Area,Ready To Move,Dasarahalli,2 BHK,1150.0,2,0,70.0,2,6086.96,6086.96
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,2100.0,3,3,120.0,3,5714.29,5714.29
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,1220.0,2,2,52.0,2,4262.3,4262.3
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,1375.0,2,1,60.0,2,4363.64,4363.64
Super built-up  Area,18-Jul,Dasarahalli,2 BHK,1333.0,2,1,78.56,2,5893.47,5893.47
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,1220.0,2,2,62.0,2,5081.97,5081.97
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,3210.0,4,1,192.0,4,5981.31,5981.31
Super built-up  Area,19-Apr,Devanahalli,2 BHK,1260.0,2,2,66.78,2,5300.0,5300.0
Super built-up  Area,22-Dec,Devanahalli,3 BHK,1282.0,2,2,68.52,3,5344.77,5344.77
Super built-up  Area,18-Aug,Devanahalli,2 BHK,1360.0,2,1,65.0,2,4779.41,4779.41
Super built-up  Area,18-Apr,Devanahalli,2 BHK,1408.0,2,2,85.0,2,6036.93,6036.93
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,1010.0,2,1,51.0,2,5049.5,5049.5
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,1080.0,2,0,53.35,2,4939.81,4939.81
Plot  Area,Ready To Move,Devanahalli,5 Bedroom,2400.0,5,3,100.0,5,4166.67,4166.67
Super built-up  Area,18-Apr,Devanahalli,2 BHK,1174.0,2,1,59.0,2,5025.55,5025.55
Plot  Area,Immediate Possession,Devanahalli,2 BHK,3752.5,2,1,177.115,2,4719.92,4719.92
Super built-up  Area,19-Dec,Devanahalli,1 BHK,658.0,1,1,34.0,1,5167.17,5167.17
Super built-up  Area,18-Apr,Devanahalli,1 BHK,658.0,1,0,26.91,1,4089.67,4089.67
Super built-up  Area,18-May,Devanahalli,1 BHK,698.5,1,0,28.57,1,4090.19,4090.19
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,1080.0,2,1,52.0,2,4814.81,4814.81
Super built-up  Area,21-Jul,Devanahalli,3 BHK,1700.0,3,0,88.2,3,5188.24,5188.24
Super built-up  Area,22-Nov,Devanahalli,3 BHK,1498.0,3,3,79.15,3,5283.71,5283.71
Super built-up  Area,22-Nov,Devanahalli,3 BHK,1466.0,3,3,77.59,3,5292.63,5292.63
Super built-up  Area,Ready To Move,Devanahalli,1 BHK,775.0,1,0,39.0,1,5032.26,5032.26
Super built-up  Area,18-May,Devanahalli,1 BHK,1020.0,2,1,49.87,1,4889.22,4889.22
Super built-up  Area,Ready To Move,Devanahalli,3 BHK,1550.0,3,1,85.0,3,5483.87,5483.87
Super built-up  Area,18-May,Devanahalli,2 BHK,1340.0,2,1,65.0,2,4850.75,4850.75
Built-up  Area,18-Mar,Devanahalli,3 Bedroom,2125.0,3,1,107.0,3,5035.29,5035.29
Super built-up  Area,18-Apr,Devanahalli,1 BHK,658.0,1,1,26.91,1,4089.67,4089.67
Built-up  Area,Ready To Move,Devanahalli,2 BHK,1010.0,2,1,58.0,2,5742.57,5742.57
Super built-up  Area,Ready To Move,Devanahalli,1 BHK,1075.0,1,1,52.57,1,4890.23,4890.23
Super built-up  Area,Ready To Move,Devarachikkanahalli,2 BHK,1250.0,2,2,40.0,2,3200.0,3200.0
Plot  Area,Ready To Move,Devarachikkanahalli,2 Bedroom,1200.0,2,2,83.0,2,6916.67,6916.67
Super built-up  Area,Ready To Move,Devarachikkanahalli,2 BHK,1170.0,2,2,40.0,2,3418.8,3418.8
Built-up  Area,Ready To Move,Devarachikkanahalli,1 BHK,615.0,1,1,24.0,1,3902.44,3902.44
Super built-up  Area,Ready To Move,Devarachikkanahalli,2 BHK,1230.0,2,1,58.0,2,4715.45,4715.45
Super built-up  Area,Ready To Move,Devarachikkanahalli,3 BHK,1425.0,2,2,65.0,3,4561.4,4561.4
Super built-up  Area,Ready To Move,Devarachikkanahalli,2 BHK,947.0,2,2,43.0,2,4540.65,4540.65
Super built-up  Area,Ready To Move,Devarachikkanahalli,2 BHK,1130.0,2,2,36.0,2,3185.84,3185.84
Super built-up  Area,Ready To Move,Devarachikkanahalli,3 BHK,1417.0,2,2,76.0,3,5363.44,5363.44
Super built-up  Area,Ready To Move,Devarachikkanahalli,2 BHK,1230.0,2,1,58.0,2,4715.45,4715.45
Super built-up  Area,Ready To Move,Devarachikkanahalli,3 BHK,1705.0,3,2,75.0,3,4398.83,4398.83
Built-up  Area,Ready To Move,Devarachikkanahalli,2 BHK,1116.0,2,1,47.0,2,4211.47,4211.47
Super built-up  Area,Ready To Move,Devarachikkanahalli,2 BHK,991.0,2,2,40.0,2,4036.33,4036.33
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1260.0,2,2,55.0,2,4365.08,4365.08
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,850.0,2,3,28.0,2,3294.12,3294.12
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1390.0,2,2,60.0,2,4316.55,4316.55
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,1804.0,3,2,121.0,3,6707.32,6707.32
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1080.0,2,2,50.0,2,4629.63,4629.63
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,1999.0,3,2,132.0,3,6603.3,6603.3
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1100.0,2,2,48.0,2,4363.64,4363.64
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,1999.0,3,2,135.0,3,6753.38,6753.38
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1100.0,2,1,41.15,2,3740.91,3740.91
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,1252.0,2,1,71.0,3,5670.93,5670.93
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1155.0,2,1,46.0,2,3982.68,3982.68
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1128.0,2,2,45.0,2,3989.36,3989.36
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1148.0,2,1,56.0,2,4878.05,4878.05
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1145.0,2,1,46.5,2,4061.14,4061.14
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,1829.0,3,2,125.0,3,6834.34,6834.34
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1100.0,2,1,41.16,2,3741.82,3741.82
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1100.0,2,1,46.75,2,4250.0,4250.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1315.0,2,2,50.0,2,3802.28,3802.28
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1135.0,2,2,58.0,2,5110.13,5110.13
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1100.0,2,1,41.18,2,3743.64,3743.64
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1370.0,2,2,60.0,2,4379.56,4379.56
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1200.0,2,2,71.0,2,5916.67,5916.67
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,1585.0,2,2,79.0,3,4984.23,4984.23
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1005.0,2,2,45.0,2,4477.61,4477.61
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1264.0,2,1,52.0,2,4113.92,4113.92
Super built-up  Area,Ready To Move,Doddaballapur,4 BHK,1690.0,3,2,80.0,4,4733.73,4733.73
Plot  Area,Ready To Move,Doddaballapur,4 Bedroom,4200.0,4,3,325.0,4,7738.1,7738.1
Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,3876.0,3,1,300.0,3,7739.94,7739.94
Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,2776.0,4,2,195.0,3,7024.5,7024.5
Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,2440.0,3,1,142.0,3,5819.67,5819.67
Plot  Area,Ready To Move,Doddaballapur,4 Bedroom,2400.0,3,0,200.0,4,8333.33,8333.33
Super built-up  Area,18-Apr,Doddaballapur,1 BHK,654.0,1,1,49.0,1,7492.35,7492.35
Plot  Area,Ready To Move,Doddaballapur,4 Bedroom,3206.0,5,1,270.0,4,8421.71,8421.71
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1010.0,2,1,40.39,2,3999.01,3999.01
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1010.0,2,1,40.39,2,3999.01,3999.01
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1072.0,2,1,42.87,2,3999.07,3999.07
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1010.0,2,1,40.4,2,4000.0,4000.0
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1010.0,2,1,41.0,2,4059.41,4059.41
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1072.0,2,1,42.87,2,3999.07,3999.07
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,970.0,2,0,33.0,2,3402.06,3402.06
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,1050.0,2,1,32.0,2,3047.62,3047.62
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,850.0,2,1,25.0,2,2941.18,2941.18
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1030.0,2,2,42.0,2,4077.67,4077.67
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,1549.0,3,2,65.0,3,4196.26,4196.26
Super built-up  Area,Ready To Move,Doddathoguru,1 BHK,550.0,1,1,17.0,1,3090.91,3090.91
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1015.0,2,2,33.5,2,3300.49,3300.49
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1104.0,2,2,39.0,2,3532.61,3532.61
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,915.0,2,1,32.0,2,3497.27,3497.27
Super built-up  Area,Ready To Move,Doddathoguru,1 BHK,750.0,1,1,25.5,1,3400.0,3400.0
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,1595.0,3,3,62.0,3,3887.15,3887.15
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,855.0,2,1,32.0,2,3742.69,3742.69
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1105.0,2,1,50.0,2,4524.89,4524.89
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,925.0,2,2,30.0,2,3243.24,3243.24
Built-up  Area,Ready To Move,Doddathoguru,3 BHK,1208.0,3,1,45.0,3,3725.17,3725.17
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,1100.0,2,2,50.0,2,4545.45,4545.45
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,940.0,2,1,32.9,2,3500.0,3500.0
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,1382.0,3,1,65.0,3,4703.33,4703.33
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,1107.0,2,3,44.0,2,3974.71,3974.71
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,907.0,2,1,40.0,2,4410.14,4410.14
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,1783.0,3,3,85.0,3,4767.25,4767.25
Super built-up  Area,Ready To Move,Doddathoguru,1 BHK,550.0,1,1,17.0,1,3090.91,3090.91
Super built-up  Area,Ready To Move,Domlur,3 BHK,1540.0,3,2,90.0,3,5844.16,5844.16
Super built-up  Area,Ready To Move,Domlur,3 BHK,1875.0,2,2,150.0,3,8000.0,8000.0
Super built-up  Area,Ready To Move,Domlur,3 BHK,1429.0,3,3,86.0,3,6018.19,6018.19
Built-up  Area,Ready To Move,Domlur,1 BHK,640.0,1,0,55.0,1,8593.75,8593.75
Super built-up  Area,Ready To Move,Domlur,2 BHK,1050.0,2,2,85.0,2,8095.24,8095.24
Super built-up  Area,Ready To Move,Domlur,3 BHK,1800.0,3,2,150.0,3,8333.33,8333.33
Super built-up  Area,Ready To Move,Domlur,3 BHK,1720.0,3,1,135.0,3,7848.84,7848.84
Super built-up  Area,Ready To Move,Domlur,3 BHK,1950.0,3,3,165.0,3,8461.54,8461.54
Built-up  Area,18-Mar,Domlur,3 BHK,2180.0,3,2,285.0,3,13073.39,13073.39
Super built-up  Area,Ready To Move,Domlur,1 BHK,650.0,1,1,70.0,1,10769.23,10769.23
Super built-up  Area,Ready To Move,Domlur,1 BHK,780.0,1,1,70.0,1,8974.36,8974.36
Super built-up  Area,Ready To Move,Domlur,3 BHK,2180.0,3,2,285.0,3,13073.39,13073.39
Super built-up  Area,Ready To Move,Domlur,3 BHK,1740.0,3,0,120.0,3,6896.55,6896.55
Built-up  Area,Ready To Move,Domlur,3 BHK,1695.0,3,2,125.0,3,7374.63,7374.63
Super built-up  Area,Ready To Move,Domlur,2 BHK,1246.0,2,1,95.0,2,7624.4,7624.4
Super built-up  Area,Ready To Move,Domlur,3 BHK,2100.0,3,2,145.0,3,6904.76,6904.76
Super built-up  Area,Ready To Move,Domlur,2 BHK,1276.0,2,2,80.0,2,6269.59,6269.59
Super built-up  Area,Ready To Move,Domlur,3 BHK,1850.0,3,1,180.0,3,9729.73,9729.73
Super built-up  Area,Ready To Move,Domlur,3 BHK,2955.0,3,1,235.0,3,7952.62,7952.62
Built-up  Area,Ready To Move,Domlur,3 BHK,1650.0,3,1,180.0,3,10909.09,10909.09
Super built-up  Area,19-Aug,Dommasandra,2 BHK,805.0,2,1,22.14,2,2750.31,2750.31
Built-up  Area,Ready To Move,Dommasandra,3 BHK,1267.0,3,2,56.0,3,4419.89,4419.89
Super built-up  Area,Ready To Move,Dommasandra,2 BHK,1200.0,2,2,50.0,2,4166.67,4166.67
Built-up  Area,Ready To Move,Dommasandra,4 Bedroom,2700.0,3,2,68.0,4,2518.52,2518.52
Super built-up  Area,Ready To Move,Dommasandra,2 BHK,1153.0,2,2,43.5,2,3772.77,3772.77
Plot  Area,18-Mar,Dommasandra,2 Bedroom,1500.0,2,0,40.0,2,2666.67,2666.67
Super built-up  Area,Ready To Move,Dommasandra,2 BHK,1090.0,2,2,43.5,2,3990.83,3990.83
Super built-up  Area,18-Dec,Dommasandra,2 BHK,850.0,2,1,25.4,2,2988.24,2988.24
Super built-up  Area,18-Dec,Dommasandra,2 BHK,674.0,1,1,19.9,2,2952.52,2952.52
Super built-up  Area,Ready To Move,Dommasandra,2 BHK,999.0,2,2,32.9,2,3293.29,3293.29
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1285.0,2,2,82.0,2,6381.32,6381.32
Super built-up  Area,18-Apr,EPIP Zone,3 BHK,2330.0,3,2,162.0,3,6952.79,6952.79
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1330.0,2,1,92.5,2,6954.89,6954.89
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1330.0,2,1,86.98,2,6539.85,6539.85
Super built-up  Area,18-Feb,EPIP Zone,2 BHK,1330.0,2,1,93.36,2,7019.55,7019.55
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,1500.0,3,3,102.0,3,6800.0,6800.0
Built-up  Area,Ready To Move,EPIP Zone,2 BHK,1280.0,2,1,69.0,2,5390.62,5390.62
Built-up  Area,Ready To Move,EPIP Zone,2 BHK,1125.0,2,1,65.0,2,5777.78,5777.78
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,1734.0,3,3,125.0,3,7208.77,7208.77
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1343.0,2,2,86.0,2,6403.57,6403.57
Super built-up  Area,18-Apr,EPIP Zone,3 BHK,2350.0,4,2,163.0,3,6936.17,6936.17
Super built-up  Area,18-Apr,EPIP Zone,3 BHK,1860.0,3,2,130.0,3,6989.25,6989.25
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,2210.0,3,3,165.0,3,7466.06,7466.06
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,2710.0,3,2,177.0,3,6531.37,6531.37
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1025.0,2,1,47.0,3,4585.37,4585.37
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1500.0,2,1,64.5,3,4300.0,4300.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,1060.0,2,1,60.0,2,5660.38,5660.38
Super built-up  Area,18-Apr,Electronic City,2 BHK,1152.0,2,1,64.5,2,5598.96,5598.96
Built-up  Area,Ready To Move,Electronic City,2 BHK,770.0,1,1,36.0,2,4675.32,4675.32
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070.0,2,1,52.0,2,4859.81,4859.81
Built-up  Area,Ready To Move,Electronic City,2 BHK,1025.0,2,1,46.0,2,4487.8,4487.8
Super built-up  Area,Ready To Move,Electronic City,1 BHK,589.0,1,1,27.0,1,4584.04,4584.04
Super built-up  Area,Ready To Move,Electronic City,2 BHK,910.0,2,1,40.0,2,4395.6,4395.6
Super built-up  Area,17-Jun,Electronic City,2 BHK,1108.0,2,1,63.0,2,5685.92,5685.92
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128.0,2,1,65.0,2,5762.41,5762.41
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1800.0,3,2,95.0,3,5277.78,5277.78
Built-up  Area,18-Apr,Electronic City,1 BHK,630.0,1,1,34.65,1,5500.0,5500.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128.0,2,1,63.0,2,5585.11,5585.11
Super built-up  Area,18-Apr,Electronic City,3 BHK,1599.0,3,2,99.0,3,6191.37,6191.37
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070.0,2,1,55.0,2,5140.19,5140.19
Super built-up  Area,Ready To Move,Electronic City,2 BHK,940.0,2,1,41.0,2,4361.7,4361.7
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128.0,2,1,68.75,2,6094.86,6094.86
Super built-up  Area,18-Apr,Electronic City,2 BHK,1342.0,2,1,73.3,2,5462.0,5462.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1360.0,2,1,71.0,3,5220.59,5220.59
Super built-up  Area,18-Dec,Electronic City,2 BHK,1265.0,2,0,56.93,2,4500.4,4500.4
Super built-up  Area,21-Dec,Electronic City,3 BHK,1691.0,2,2,102.0,3,6031.93,6031.93
Super built-up  Area,18-Aug,Electronic City,2 BHK,1128.0,2,1,65.49,2,5805.85,5805.85
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070.0,2,1,56.1,2,5242.99,5242.99
Plot  Area,Ready To Move,Electronic City,4 Bedroom,2000.0,4,0,120.0,4,6000.0,6000.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,890.0,2,2,45.0,2,5056.18,5056.18
Super built-up  Area,18-May,Electronic City,2 BHK,1128.0,2,1,65.65,2,5820.04,5820.04
Built-up  Area,Ready To Move,Electronic City,2 BHK,865.0,2,0,42.0,2,4855.49,4855.49
Super built-up  Area,Ready To Move,Electronic City,2 BHK,910.0,2,2,42.0,2,4615.38,4615.38
Built-up  Area,Ready To Move,Electronic City,3 BHK,1360.0,2,1,75.0,3,5514.71,5514.71
Super built-up  Area,Ready To Move,Electronic City,2 BHK,770.0,1,1,40.0,2,5194.81,5194.81
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1128.0,2,1,64.0,2,5673.76,5673.76
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070.0,2,1,54.0,2,5046.73,5046.73
Super built-up  Area,18-Jan,Electronic City,3 BHK,1571.0,3,2,89.0,3,5665.18,5665.18
Super built-up  Area,18-Dec,Electronic City,3 BHK,1111.0,3,1,50.0,3,4500.45,4500.45
Super built-up  Area,Ready To Move,Electronic City,2 BHK,870.0,2,1,39.5,2,4540.23,4540.23
Super built-up  Area,18-Apr,Electronic City,3 BHK,1374.0,2,1,72.0,3,5240.17,5240.17
