,area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,price_per_squrt
3493,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1571.0,3.0,2.0,105.0,3,6683.64099299809
3494,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1445.0,3.0,1.0,86.56,3,5990.311418685121
3495,Super built-up  Area,Ready To Move,Hosur Road,3 BHK,1590.0,2.0,2.0,135.0,3,8490.566037735849
3496,Super built-up  Area,Ready To Move,Bommasandra,2 BHK,902.0,2.0,2.0,49.0,2,5432.372505543237
3497,Plot  Area,18-Mar,Sarjapur,3 Bedroom,2238.0,3.0,1.0,140.0,3,6255.585344057194
3498,Built-up  Area,18-Dec,Electronic City,2 BHK,1090.0,2.0,1.0,31.49,2,2888.990825688073
3499,Built-up  Area,Ready To Move,Yelahanka,3 BHK,1712.0,3.0,3.0,82.0,3,4789.719626168225
3500,Built-up  Area,Ready To Move,Haralur Road,2 BHK,1088.0,2.0,1.0,68.0,2,6250.0
3501,Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,1575.0,3.0,3.0,63.1,3,4006.3492063492063
3502,Plot  Area,Ready To Move,other,6 Bedroom,2150.0,6.0,3.0,205.0,6,9534.883720930233
3503,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1920.0,3.0,2.0,150.0,3,7812.5
3504,Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,1000.0,2.0,0.0,57.0,2,5700.0
3505,Super built-up  Area,18-Oct,other,2 BHK,1100.0,2.0,2.0,56.1,2,5100.0
3506,Super built-up  Area,Ready To Move,Electronic City,2 BHK,1089.0,2.0,2.0,45.0,2,4132.231404958678
3507,Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1106.0,2.0,1.0,43.09,2,3896.021699819168
3508,Super built-up  Area,18-Dec,Kengeri,2 BHK,927.0,2.0,2.0,37.0,2,3991.370010787487
3509,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1339.0,2.0,2.0,58.0,2,4331.59073935773
3510,Built-up  Area,21-Dec,Thanisandra,1 BHK,923.0,1.0,1.0,45.69,1,4950.162513542795
3511,Plot  Area,18-Aug,Sarjapur  Road,3 Bedroom,2900.0,3.0,2.0,285.0,3,9827.586206896553
3512,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1175.0,2.0,2.0,75.0,2,6382.978723404255
3513,Built-up  Area,Ready To Move,Thubarahalli,2 BHK,975.0,2.0,1.0,55.0,2,5641.025641025641
3514,Super built-up  Area,Ready To Move,Hebbal,3 BHK,2400.0,4.0,1.0,180.0,3,7500.0
3515,Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1330.0,3.0,2.0,72.0,3,5413.533834586467
3516,Super built-up  Area,20-Dec,Thanisandra,2 BHK,1183.0,2.0,1.0,59.74,2,5049.873203719358
3517,Super built-up  Area,Ready To Move,Harlur,3 BHK,1758.0,3.0,2.0,133.0,3,7565.415244596132
3518,Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,1200.0,3.0,2.0,265.0,3,22083.33333333333
3519,Built-up  Area,Ready To Move,Pai Layout,2 BHK,1100.0,2.0,2.0,50.0,2,4545.454545454545
3520,Super built-up  Area,18-Dec,Ramamurthy Nagar,2 BHK,1170.0,2.0,2.0,46.8,2,4000.0
3521,Built-up  Area,Ready To Move,other,5 Bedroom,2400.0,5.0,2.0,120.0,5,5000.0
3522,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1530.0,3.0,3.0,51.77,3,3383.6601307189544
3523,Built-up  Area,17-Dec,Hebbal,2 BHK,1420.0,2.0,2.0,107.0,2,7535.211267605634
3524,Plot  Area,Ready To Move,other,4 Bedroom,1200.0,4.0,2.0,300.0,4,25000.0
3525,Super built-up  Area,19-Jan,Kanakpura Road,3 BHK,1591.0,3.0,1.0,115.0,3,7228.158390949088
3526,Plot  Area,Ready To Move,other,2 Bedroom,675.0,3.0,1.0,52.0,2,7703.703703703703
3527,Super built-up  Area,19-Dec,Hoodi,2 BHK,1055.0,2.0,1.0,57.63,2,5462.559241706161
3528,Super built-up  Area,Ready To Move,Iblur Village,3 BHK,1918.0,3.0,2.0,129.0,3,6725.7559958289885
3529,Super built-up  Area,18-Jan,Sarjapur  Road,2 BHK,1280.0,2.0,1.0,76.0,2,5937.5
3530,Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1560.0,3.0,3.0,66.0,3,4230.769230769231
3531,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1145.0,2.0,2.0,49.5,2,4323.144104803493
3532,Super built-up  Area,Ready To Move,other,3 BHK,1801.0,3.0,2.0,139.0,3,7717.934480843975
3533,Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,1718.0,3.0,2.0,288.0,2,16763.678696158324
3534,Super built-up  Area,20-Jun,Whitefield,3 BHK,1306.0,3.0,2.0,54.65,3,4184.532924961715
3535,Super built-up  Area,19-Jun,Hebbal,2 BHK,1320.0,2.0,1.0,92.0,2,6969.69696969697
3536,Built-up  Area,Ready To Move,other,3 BHK,1350.0,2.0,2.0,65.0,3,4814.814814814815
3537,Built-up  Area,Ready To Move,other,4 BHK,2990.0,4.0,,324.0,4,10836.120401337792
3538,Built-up  Area,Ready To Move,Kalyan nagar,4 BHK,3800.0,5.0,3.0,300.0,4,7894.736842105263
3539,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1344.0,2.0,1.0,42.0,3,3125.0
3540,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1893.0,3.0,2.0,100.0,3,5282.620179609086
3541,Super built-up  Area,Ready To Move,Chandapura,3 BHK,1107.0,2.0,1.0,43.0,3,3884.372177055104
3542,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1190.0,2.0,1.0,75.0,2,6302.5210084033615
3543,Built-up  Area,Ready To Move,Whitefield,2 BHK,1000.0,2.0,1.0,35.0,2,3500.0
3544,Plot  Area,Ready To Move,other,2 Bedroom,2400.0,2.0,1.0,160.0,2,6666.666666666667
3545,Super built-up  Area,Ready To Move,Kumaraswami Layout,2 BHK,1000.0,2.0,1.0,48.5,2,4850.0
3546,Super built-up  Area,Ready To Move,Jalahalli,3 BHK,2113.0,3.0,2.0,155.0,3,7335.541883577851
3547,Built-up  Area,Ready To Move,KR Puram,2 BHK,1100.0,2.0,1.0,46.0,2,4181.818181818182
3548,Super built-up  Area,Ready To Move,Harlur,4 BHK,1884.0,4.0,2.0,120.0,4,6369.426751592357
3549,Super built-up  Area,Ready To Move,Electronic City,2 BHK,1110.0,2.0,1.0,40.0,2,3603.603603603604
3550,Super built-up  Area,Ready To Move,Kudlu,2 BHK,1027.0,2.0,2.0,43.0,2,4186.952288218111
3551,Super built-up  Area,18-May,other,3 BHK,1250.0,3.0,2.0,40.0,3,3200.0
3552,Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1470.0,3.0,0.0,62.0,3,4217.687074829932
3553,Built-up  Area,18-May,other,2 BHK,1150.0,2.0,1.0,75.0,2,6521.739130434783
3554,Plot  Area,Ready To Move,other,3 Bedroom,1200.0,3.0,2.0,165.0,3,13750.0
3555,Super built-up  Area,18-Aug,Kudlu Gate,1 BHK,703.0,1.0,1.0,52.0,1,7396.870554765292
3556,Super built-up  Area,Ready To Move,other,3 BHK,1400.0,2.0,2.0,62.0,3,4428.571428571428
3557,Super built-up  Area,Ready To Move,Bellandur,2 BHK,1195.0,2.0,2.0,51.0,2,4267.782426778243
3558,Super built-up  Area,Ready To Move,Narayanapura,2 BHK,1302.0,2.0,1.0,69.1,2,5307.219662058371
3559,Super built-up  Area,19-Aug,Begur Road,3 BHK,1583.0,3.0,1.0,74.4,3,4699.936828806065
3560,Super built-up  Area,Ready To Move,other,3 BHK,1488.0,2.0,3.0,60.0,3,4032.258064516129
3561,Super built-up  Area,18-Aug,Kammasandra,3 BHK,1385.0,2.0,2.0,34.63,3,2500.361010830325
3562,Super built-up  Area,Ready To Move,Whitefield,4 BHK,3262.0,4.0,2.0,260.0,4,7970.570202329859
3563,Built-up  Area,18-Jan,Electronic City,3 BHK,1600.0,3.0,2.0,104.0,3,6500.0
3564,Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,1150.0,2.0,1.0,90.0,2,7826.086956521739
3565,Plot  Area,Ready To Move,other,9 Bedroom,4500.0,9.0,,166.0,9,3688.8888888888887
3566,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1263.0,2.0,1.0,78.0,2,6175.771971496437
3567,Super built-up  Area,20-May,Kanakpura Road,2 BHK,1299.0,2.0,2.0,85.0,2,6543.4949961508855
3568,Super built-up  Area,Ready To Move,Banashankari,2 BHK,1330.0,2.0,1.0,78.0,2,5864.661654135339
3569,Super built-up  Area,18-Apr,Devanahalli,3 BHK,1282.0,2.0,2.0,52.43,3,4089.703588143526
3570,Built-up  Area,Ready To Move,other,3 BHK,1853.0,3.0,2.0,82.0,3,4425.256341068538
3571,Super built-up  Area,Ready To Move,other,2 BHK,861.0,2.0,1.0,35.0,2,4065.040650406504
3572,Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1600.0,3.0,2.0,95.0,3,5937.5
3573,Built-up  Area,Ready To Move,other,2 BHK,1256.0,2.0,1.0,62.8,2,5000.0
3574,Super built-up  Area,Ready To Move,other,3 BHK,1390.0,2.0,2.0,80.0,3,5755.395683453237
3575,Super built-up  Area,Ready To Move,other,3 BHK,1550.0,2.0,,90.0,3,5806.451612903225
3576,Built-up  Area,Ready To Move,Hebbal,2 BHK,919.0,2.0,1.0,49.0,2,5331.882480957563
3577,Plot  Area,18-May,Margondanahalli,3 Bedroom,1625.0,3.0,0.0,80.0,3,4923.076923076923
3578,Super built-up  Area,Ready To Move,Gunjur,2 BHK,1195.0,2.0,2.0,44.0,2,3682.0083682008367
3579,Super built-up  Area,Ready To Move,Domlur,6 BHK,2400.0,4.0,1.0,600.0,6,25000.0
3580,Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,1159.0,2.0,1.0,60.0,2,5176.876617773944
3581,Super built-up  Area,20-Jun,Whitefield,3 BHK,1386.0,3.0,1.0,57.46,3,4145.743145743146
3582,Super built-up  Area,Ready To Move,Harlur,2 BHK,1197.0,2.0,1.0,79.0,2,6599.832915622389
3583,Super built-up  Area,Ready To Move,Jigani,4 Bedroom,4303.5,2.708601981443623,,226.0,4,5251.539444638085
3584,Super built-up  Area,18-May,Bommasandra,3 BHK,1295.0,2.0,1.0,50.28,3,3882.6254826254826
3585,Built-up  Area,18-Jul,other,3 BHK,1310.0,2.0,1.0,37.83,3,2887.7862595419847
3586,Super built-up  Area,21-Dec,Whitefield,2 BHK,1132.0,2.0,1.0,79.28,2,7003.533568904593
3587,Built-up  Area,Ready To Move,other,3 BHK,2350.0,3.0,2.0,400.0,3,17021.27659574468
3588,Plot  Area,Ready To Move,other,4 Bedroom,2400.0,4.0,,500.0,4,20833.33333333333
3589,Super built-up  Area,19-Dec,Hebbal,3 BHK,1645.0,3.0,2.0,135.0,3,8206.686930091186
3590,Super built-up  Area,18-Nov,Whitefield,2 BHK,1200.0,2.0,1.0,45.84,2,3820.0
3591,Plot  Area,Ready To Move,Whitefield,4 Bedroom,3000.0,4.0,0.0,330.0,4,11000.0
3592,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1937.0,3.0,2.0,140.0,3,7227.671657201859
3593,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1015.0,2.0,2.0,33.5,2,3300.4926108374384
3594,Super built-up  Area,Ready To Move,Nagadevanahalli,2 BHK,1080.0,2.0,2.0,39.0,2,3611.1111111111113
3595,Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,1350.0,2.0,2.0,80.99,3,5999.259259259258
3596,Super built-up  Area,18-Aug,Kengeri Satellite Town,3 BHK,1149.0,2.0,2.0,29.0,3,2523.933855526545
3597,Super built-up  Area,Ready To Move,Kothanur,2 BHK,1185.0,2.0,2.0,59.0,2,4978.9029535864975
3598,Super built-up  Area,Ready To Move,Domlur,3 BHK,1720.0,3.0,1.0,135.0,3,7848.837209302325
3599,Super built-up  Area,Ready To Move,Hebbal,3 BHK,2080.0,3.0,3.0,175.0,3,8413.461538461539
3600,Plot  Area,Ready To Move,Tindlu,3 Bedroom,1500.0,3.0,1.0,87.0,3,5800.0
3601,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1566.0,3.0,2.0,97.0,3,6194.125159642401
3602,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,2386.0,3.0,,334.0,3,13998.323554065382
3603,Plot  Area,Ready To Move,other,4 Bedroom,1500.0,4.0,0.0,110.0,4,7333.333333333333
3604,Super built-up  Area,Ready To Move,KR Puram,2 BHK,1290.0,2.0,1.0,49.02,2,3800.0
3605,Built-up  Area,20-Dec,other,3 BHK,1531.0,3.0,2.0,72.0,3,4702.808621815807
3606,Super built-up  Area,Ready To Move,other,3 BHK,1839.0,3.0,3.0,165.0,3,8972.26753670473
3607,Plot  Area,Ready To Move,other,4 Bedroom,4200.0,4.0,1.0,760.0,4,18095.23809523809
3608,Super built-up  Area,18-May,Electronic City Phase II,3 BHK,1400.0,2.0,2.0,40.43,3,2887.8571428571427
3609,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1140.0,2.0,2.0,39.0,2,3421.0526315789475
3610,Super built-up  Area,21-Jun,Tumkur Road,3 BHK,1343.5,3.0,0.0,57.76,3,4299.218459248233
3611,Built-up  Area,Ready To Move,Banashankari Stage III,4 Bedroom,2000.0,4.0,0.0,100.0,4,5000.0
3612,Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1100.0,2.0,1.0,46.0,2,4181.818181818182
3613,Built-up  Area,Ready To Move,other,2 BHK,1200.0,2.0,2.0,55.0,2,4583.333333333333
3614,Super built-up  Area,18-Apr,Bannerghatta,3 BHK,1618.0,3.0,1.0,68.0,3,4202.719406674907
3615,Super built-up  Area,18-Oct,Whitefield,4 BHK,2830.0,5.0,2.0,160.0,4,5653.710247349824
3616,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1315.0,2.0,2.0,74.0,3,5627.376425855513
3617,Super built-up  Area,Ready To Move,Anandapura,2 BHK,1141.0,2.0,1.0,42.75,2,3746.713409290097
3618,Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1080.0,2.0,2.0,55.0,2,5092.592592592592
3619,Super built-up  Area,Ready To Move,HBR Layout,2 BHK,1200.0,2.0,2.0,60.0,2,5000.0
3620,Super built-up  Area,Ready To Move,Varthur,2 BHK,1111.0,2.0,2.0,41.88,2,3769.57695769577
3621,Super built-up  Area,Ready To Move,NGR Layout,2 BHK,1022.0,2.0,1.0,45.9,2,4491.19373776908
3622,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1275.0,2.0,2.0,65.0,2,5098.0392156862745
3623,Super built-up  Area,Ready To Move,other,2 BHK,900.0,2.0,1.0,70.0,2,7777.777777777777
3624,Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1224.0,2.0,3.0,39.2,2,3202.614379084968
3625,Super built-up  Area,Ready To Move,Battarahalli,2 BHK,1135.0,2.0,3.0,43.0,2,3788.546255506608
3626,Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1050.0,2.0,2.0,52.1,2,4961.9047619047615
3627,Super built-up  Area,17-Nov,Nagavarapalya,2 BHK,1392.0,2.0,1.0,130.0,2,9339.080459770115
3628,Super built-up  Area,Ready To Move,Bellandur,2 BHK,1050.0,2.0,2.0,72.0,2,6857.142857142857
3629,Super built-up  Area,19-Jun,Hosa Road,3 BHK,1513.0,3.0,1.0,103.0,3,6807.666886979511
3630,Super built-up  Area,Ready To Move,Gottigere,3 BHK,1621.0,3.0,3.0,72.0,3,4441.702652683529
3631,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,892.0,2.0,1.0,39.0,2,4372.197309417041
3632,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1205.0,2.0,1.0,40.0,2,3319.5020746887967
3633,Super built-up  Area,18-Dec,Hebbal,3 BHK,1355.0,3.0,2.0,83.87,3,6189.667896678967
3634,Super built-up  Area,Ready To Move,other,4 BHK,1200.0,6.0,3.0,70.0,4,5833.333333333333
3635,Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,1400.0,2.0,2.0,168.0,2,12000.0
3636,Super built-up  Area,18-Nov,Kengeri,2 BHK,726.0,2.0,1.0,35.0,2,4820.936639118458
3637,Plot  Area,Ready To Move,other,3 Bedroom,1500.0,3.0,2.0,149.0,3,9933.333333333334
3638,Super built-up  Area,Ready To Move,Hebbal,4 BHK,3895.0,4.0,2.0,405.0,4,10397.946084724004
3639,Super built-up  Area,18-Dec,Horamavu Agara,2 BHK,1079.0,2.0,2.0,41.0,2,3799.814643188137
3640,Super built-up  Area,Ready To Move,Begur Road,2 BHK,1170.0,2.0,2.0,46.0,2,3931.623931623932
3641,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1104.0,2.0,2.0,39.0,2,3532.608695652174
3642,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950.0,2.0,1.0,45.0,2,4736.8421052631575
3643,Built-up  Area,Ready To Move,Hormavu,4 Bedroom,4818.0,4.0,3.0,390.0,4,8094.64508094645
3644,Built-up  Area,Ready To Move,other,3 BHK,1650.0,2.0,1.0,52.0,3,3151.5151515151515
3645,Super built-up  Area,21-May,Kogilu,3 BHK,1559.0,3.0,2.0,127.0,3,8146.247594611931
3646,Built-up  Area,Ready To Move,other,2 BHK,1100.0,2.0,1.0,38.0,2,3454.5454545454545
3647,Super built-up  Area,Ready To Move,Benson Town,3 BHK,1750.0,3.0,3.0,150.0,3,8571.42857142857
3648,Super built-up  Area,18-Jul,Ramagondanahalli,2 BHK,1215.0,2.0,1.0,45.5,2,3744.855967078189
3649,Super built-up  Area,21-Feb,Talaghattapura,3 BHK,1868.0,3.0,1.0,135.0,3,7226.980728051391
3650,Built-up  Area,18-Dec,Electronic City,2 BHK,1130.0,2.0,1.0,32.63,2,2887.610619469027
3651,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1691.0,3.0,1.0,98.0,3,5795.38734476641
3652,Built-up  Area,Ready To Move,Ardendale,5 Bedroom,4355.0,3.0,1.0,350.0,5,8036.739380022962
3653,Super built-up  Area,17-Oct,Hulimavu,2 BHK,1225.0,2.0,2.0,55.0,2,4489.7959183673465
3654,Super built-up  Area,Ready To Move,JP Nagar,3 BHK,1690.0,3.0,2.0,112.0,3,6627.218934911242
3655,Super built-up  Area,Ready To Move,Kasturi Nagar,4 BHK,1896.0,3.0,1.0,125.0,4,6592.827004219409
3656,Super built-up  Area,17-Sep,Sonnenahalli,1 BHK,605.0,1.0,1.0,40.0,1,6611.570247933884
3657,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,900.0,2.0,2.0,32.5,2,3611.1111111111113
3658,Plot  Area,Ready To Move,other,1 Bedroom,750.0,2.0,0.0,50.0,1,6666.666666666667
3659,Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,908.0,2.0,1.0,26.0,2,2863.4361233480176
3660,Built-up  Area,18-May,Sarjapur  Road,4 Bedroom,3416.5,6.0,0.0,143.0,4,4185.570027806234
3661,Super built-up  Area,Ready To Move,Thanisandra,4 BHK,3216.0,4.0,1.0,226.0,4,7027.363184079602
3662,Plot  Area,Ready To Move,BEML Layout,5 Bedroom,2400.0,4.0,1.0,225.0,5,9375.0
3663,Built-up  Area,Ready To Move,Iblur Village,2 BHK,1400.0,2.0,2.0,68.0,2,4857.142857142857
3664,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1255.0,2.0,2.0,74.0,2,5896.414342629482
3665,Built-up  Area,Ready To Move,Electronic City,3 BHK,1500.0,2.0,1.0,100.0,3,6666.666666666667
3666,Super built-up  Area,18-Feb,Thanisandra,2 BHK,1296.0,2.0,2.0,72.0,2,5555.555555555556
3667,Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,925.0,2.0,3.0,38.0,2,4108.108108108108
3668,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1023.0,2.0,2.0,42.0,2,4105.571847507332
3669,Built-up  Area,Ready To Move,other,2 BHK,600.0,3.0,2.0,75.0,2,12500.0
3670,Super built-up  Area,18-May,Thanisandra,2 BHK,1020.0,2.0,1.0,44.5,2,4362.745098039216
3671,Super built-up  Area,17-Jul,Choodasandra,3 BHK,1530.0,3.0,2.0,77.0,3,5032.679738562091
3672,Super built-up  Area,Ready To Move,Gubbalala,3 BHK,1650.0,3.0,2.0,71.0,3,4303.030303030303
3673,Built-up  Area,Ready To Move,other,3 BHK,1605.0,2.0,3.0,85.0,3,5295.95015576324
3674,Super built-up  Area,Ready To Move,Hosakerehalli,2 BHK,1925.0,2.0,1.0,50.0,2,2597.4025974025976
3675,Super built-up  Area,Ready To Move,Kogilu,2 BHK,1190.0,2.0,2.0,50.66,2,4257.142857142857
3676,Super built-up  Area,Ready To Move,Jakkur,3 BHK,1374.0,3.0,2.0,68.0,3,4949.0538573508
3677,Built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1140.0,2.0,2.0,65.0,2,5701.754385964912
3678,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,1725.0,3.0,2.0,130.0,3,7536.231884057971
3679,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,50.0,3,4651.162790697675
3680,Super built-up  Area,Ready To Move,Kannamangala,3 BHK,1574.0,3.0,1.0,93.34,3,5930.114358322745
3681,Built-up  Area,Ready To Move,Sanjay nagar,1 BHK,965.0,1.0,1.0,32.0,1,3316.062176165803
3682,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1550.0,3.0,2.0,83.0,3,5354.83870967742
3683,Super built-up  Area,Ready To Move,other,2 BHK,1205.0,2.0,2.0,60.0,2,4979.253112033195
3684,Super built-up  Area,Ready To Move,Kambipura,3 BHK,1082.0,2.0,1.0,55.0,3,5083.179297597043
3685,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1215.0,2.0,2.0,52.85,3,4349.794238683127
3686,Super built-up  Area,Ready To Move,Hebbal,4 BHK,2483.0,5.0,2.0,230.0,4,9262.988320579943
3687,Plot  Area,18-Jul,other,2 Bedroom,1200.0,3.0,1.0,46.14,2,3845.0
3688,Super built-up  Area,Ready To Move,other,1 BHK,1500.0,1.0,1.0,19.5,1,1300.0
3689,Plot  Area,18-May,1st Block Koramangala,4 Bedroom,2360.0,4.0,2.0,600.0,4,25423.728813559323
3690,Super built-up  Area,Ready To Move,Ardendale,4 BHK,3198.0,4.0,,250.0,4,7817.385866166354
3691,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1452.0,3.0,3.0,60.98,3,4199.724517906336
3692,Super built-up  Area,18-Apr,Electronic City Phase II,3 BHK,1329.0,2.0,2.0,41.0,3,3085.026335590669
3693,Super built-up  Area,Ready To Move,other,2 BHK,1125.0,2.0,1.0,44.0,2,3911.1111111111113
3694,Plot  Area,Ready To Move,other,2 Bedroom,1200.0,2.0,0.0,70.0,2,5833.333333333333
3695,Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1350.0,3.0,3.0,39.97,3,2960.740740740741
3696,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1312.5,3.0,0.0,51.19,3,3900.190476190476
3697,Super built-up  Area,19-Oct,Hebbal,3 BHK,2600.0,3.0,2.0,195.0,3,7500.0
3698,Plot  Area,Ready To Move,other,2 Bedroom,1200.0,2.0,1.0,160.0,2,13333.333333333334
3699,Built-up  Area,18-Dec,Electronic City Phase II,3 BHK,1220.0,3.0,1.0,35.23,3,2887.7049180327863
3700,Super built-up  Area,Ready To Move,Pai Layout,2 BHK,1255.0,2.0,1.0,80.0,2,6374.501992031873
3701,Super built-up  Area,Ready To Move,other,3 BHK,1904.0,3.0,3.0,155.0,3,8140.756302521008
3702,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1329.0,2.0,2.0,70.0,2,5267.11813393529
3703,Plot  Area,Ready To Move,Chandapura,2 Bedroom,1200.0,2.0,1.0,60.0,2,5000.0
3704,Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,2135.0,3.0,2.0,160.0,3,7494.145199063232
3705,Super built-up  Area,Ready To Move,other,3 BHK,2770.0,4.0,3.0,315.0,3,11371.841155234655
3706,Built-up  Area,19-Dec,other,1 BHK,813.0,1.0,1.0,39.0,1,4797.047970479704
3707,Plot  Area,Ready To Move,other,4 Bedroom,3884.0,4.0,3.0,240.0,4,6179.196704428425
3708,Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,3876.0,3.0,1.0,300.0,3,7739.938080495356
3709,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,800.0,2.0,2.0,30.0,2,3750.0
3710,Plot  Area,Ready To Move,other,4 Bedroom,4750.0,2.0,1.0,120.0,4,2526.315789473684
3711,Super built-up  Area,Ready To Move,Hormavu,3 BHK,1500.0,3.0,3.0,70.0,3,4666.666666666667
3712,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1880.0,3.0,2.0,95.0,3,5053.191489361702
3713,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1440.0,2.0,2.0,55.0,3,3819.444444444444
3714,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1575.0,3.0,,90.0,3,5714.285714285715
3715,Super built-up  Area,Ready To Move,other,3 BHK,1630.0,2.0,2.0,97.78,3,5998.773006134969
3716,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1180.0,3.0,1.0,55.0,3,4661.016949152542
3717,Built-up  Area,Ready To Move,Nagadevanahalli,2 BHK,1090.0,2.0,1.0,36.0,2,3302.7522935779816
3718,Super built-up  Area,Ready To Move,NGR Layout,2 BHK,1020.0,2.0,2.0,48.45,2,4750.0
3719,Built-up  Area,Ready To Move,other,4 BHK,2425.0,4.0,3.0,173.0,4,7134.020618556701
3720,Super built-up  Area,18-Mar,Varthur,2 BHK,1097.0,2.0,1.0,33.82,2,3082.9535095715587
3721,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1070.0,2.0,1.0,50.0,2,4672.897196261682
3722,Super built-up  Area,Ready To Move,Kumaraswami Layout,2 BHK,1000.0,2.0,1.0,58.0,2,5800.0
3723,Super built-up  Area,18-Apr,other,2 BHK,1150.0,2.0,1.0,56.0,2,4869.565217391304
3724,Built-up  Area,Ready To Move,Frazer Town,3 BHK,1900.0,4.0,2.0,145.0,3,7631.578947368421
3725,Super built-up  Area,Ready To Move,other,2 BHK,1141.0,2.0,2.0,49.0,2,4294.478527607362
3726,Built-up  Area,Ready To Move,Jigani,2 BHK,937.0,2.0,1.0,44.0,2,4695.837780149413
3727,Built-up  Area,Ready To Move,Green Glen Layout,2 BHK,1075.0,2.0,1.0,60.0,2,5581.395348837209
3728,Super built-up  Area,18-Feb,Panathur,2 BHK,1000.0,2.0,1.0,65.3,2,6530.0
3729,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1450.0,3.0,,77.41,3,5338.620689655172
3730,Super built-up  Area,Ready To Move,other,2 BHK,936.0,2.0,2.0,43.0,2,4594.017094017094
3731,Built-up  Area,Ready To Move,other,2 BHK,1280.0,2.0,1.0,75.0,2,5859.375
3732,Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,1050.0,2.0,3.0,45.0,2,4285.714285714285
3733,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1350.0,2.0,1.0,86.0,2,6370.37037037037
3734,Super built-up  Area,Ready To Move,Mallasandra,2 BHK,1325.0,2.0,1.0,70.0,2,5283.018867924528
